date,Q,ETpot,P,air_temp_proxy,soil_temperature_5cm
1999-04-17,2.070421888262051,1.16108,0.77075,7.161032825485457,6.97987
1999-04-18,1.6047172358887445,1.57907,0.0,7.3916662328756635,7.30224
1999-04-19,1.442001152529396,1.13236,2.52692,7.48506783080902,7.43354
1999-04-20,1.2063433766296503,2.09423,4.90428,8.336369549115465,8.63951
1999-04-21,1.408335755972289,1.66403,3.68601,9.404098868255643,10.1389
1999-04-22,1.4363902531032116,1.9232599999999997,0.058562699999999995,9.931911626419621,10.8629
1999-04-23,1.2063433766296503,2.4283,0.0,11.348799520201142,12.7362
1999-04-24,0.8360240145014786,1.6863599999999999,0.0,11.082703749061364,12.3921
1999-04-25,0.8753003104847695,2.29068,0.750517,12.290182693932342,13.9279
1999-04-26,0.7911368190920033,2.82822,0.13878800000000002,13.139598686273454,14.9734
1999-04-27,0.8248022156491097,2.2297,0.0,12.364889781593218,14.0209
1999-04-28,0.6059771380279174,1.9120700000000002,0.0,12.571659649585166,14.2772
1999-04-29,0.6171989368802863,3.0628599999999997,0.0,13.307343144721491,15.177
1999-04-30,0.5263023661760986,3.0951400000000002,0.0,14.392110906414361,16.4741
1999-05-01,0.4802929908813864,2.52178,0.051631100000000006,14.457675375165236,16.5515
1999-05-02,0.4376501552423848,2.7264,0.0,14.377468757160875,16.4568
1999-05-03,0.4320392558162003,3.55094,0.0,15.031059446111707,17.2239
1999-05-04,0.4051069385705151,3.24067,0.0350118,12.939617790489427,14.7295
1999-05-05,0.4051069385705151,1.9267900000000002,2.5028799999999998,11.651424202727513,13.1235
1999-05-06,0.4600937529471225,1.1428,2.8767400000000003,10.62942465153339,11.7979
1999-05-07,0.4208174569638315,2.1177599999999996,1.54321,13.379075215681452,15.2638
1999-05-08,0.4129621977671733,2.11559,0.026415300000000003,13.62398345411564,15.559
1999-05-09,0.4051069385705151,3.0487599999999997,0.0,14.503386945448417,16.6054
1999-05-10,0.4045458486278967,2.47958,4.01932,14.038941618784945,16.0553
1999-05-11,0.4247450865621606,1.54233,1.74695,13.059363448697136,14.8757
1999-05-12,0.4426999647259508,2.0288,3.8027900000000003,13.247693004912,15.1047
1999-05-13,0.4180120072507393,2.46507,1.2975700000000001,12.934957030762325,14.7238
1999-05-14,0.37817462132483,2.13821,0.0314507,13.118065529831886,14.9472
1999-05-15,0.3675139124150795,2.16083,0.752599,12.164458959529833,13.7709
1999-05-16,0.3428259549398681,1.7460099999999998,0.0,11.37484555727489,12.7697
1999-05-17,0.3136492779237091,3.7454199999999997,0.0,12.439043193857215,14.113
1999-05-18,0.3198212672925119,4.33472,0.037650800000000005,13.595286081973159,15.5245
1999-05-19,0.33048197620226233,3.00616,7.97807,14.513145566159748,16.6169
1999-05-20,0.4326003457588187,2.14391,1.06951,14.574203442672895,16.6888
1999-05-21,0.3579753833905661,1.89779,0.391858,14.036757547695663,16.0527
1999-05-22,0.3461924945955787,1.51437,0.802424,12.85499932808346,14.6259
1999-05-23,0.3192601773498935,2.9235900000000004,0.0,13.845812820306366,15.8249
1999-05-24,0.3057940187270509,2.67088,0.0,15.462832968305817,17.725
1999-05-25,0.2996220293582481,2.40136,0.0,15.574620489064811,17.854
1999-05-26,0.3057940187270509,3.5,0.0,17.199979812734593,19.6917
1999-05-27,0.3069161986122878,4.62659,0.0,18.74818738288457,21.3553
1999-05-28,0.4903926098485184,3.47165,19.187,18.982520158246718,21.5972
1999-05-29,0.4410166948980954,4.36557,0.0,20.440043635363804,23.0283
1999-05-30,0.4118400178819365,4.20392,0.171878,20.77142864850857,23.3342
1999-05-31,0.3714415420134086,3.15138,0.0,18.699910240093676,21.3051
1999-06-01,0.3316041560874992,3.7,0.0,19.731406075962976,22.3492
1999-06-02,0.4331614357014372,4.19351,7.3300199999999975,20.540353051036117,23.1217
1999-06-03,0.3978127693164754,3.89054,7.460139999999999,18.304690530761132,20.8897
1999-06-04,0.3938851397181463,2.51966,0.00927589,15.259776413608092,17.4899
1999-06-05,0.33889832534153896,2.14434,10.9932,14.080543120974328,16.1048
1999-06-06,0.38210225092315897,2.06495,0.173311,12.942643513022452,14.7332
1999-06-07,0.3714415420134086,3.24867,6.3807,15.371864772643375,17.6198
1999-06-08,0.3933240497755278,2.27556,3.00454,14.128326823833321,16.1616
1999-06-09,0.4275505362752528,2.47302,0.0,13.951158490067533,15.9507
1999-06-10,0.4051069385705151,2.74968,0.0,16.082902510965017,18.4366
1999-06-11,0.35573102362009223,2.4533400000000003,0.0,15.991393472372087,18.3322
1999-06-12,0.31477145780894605,2.62448,0.0,16.437928242507713,18.8395
1999-06-13,0.30803837849752463,2.5398099999999997,0.23657399999999998,16.570997169851406,18.9896
1999-06-14,0.3001831193008665,3.40308,0.0,17.457954854289436,19.9758
1999-06-15,0.3007442092434849,3.65845,0.0,18.113733369198204,20.6863
1999-06-16,0.2884002305058792,2.9,0.0,18.00337764665628,20.568
1999-06-17,0.28896132044849765,3.4073,0.241713,19.27039850433994,21.8902
1999-06-18,0.2878391405632608,3.1292400000000002,0.0,16.57632592268695,18.9956
1999-06-19,0.261467913260194,2.23653,0.0,15.764405120090037,18.0723
1999-06-20,0.2923278601042083,3.45819,3.0016,16.40431141964905,18.8015
1999-06-21,0.2631511830880493,2.55919,0.45256499999999994,14.354879697008629,16.4301
1999-06-22,0.32150453712036725,2.71082,0.133053,13.844558231713206,15.8234
1999-06-23,0.30747728855490625,2.63866,0.0,14.776784653513834,16.9267
1999-06-24,0.31869908740727504,3.0079599999999997,0.0,16.29357516475915,18.6761
1999-06-25,0.3057940187270509,3.86891,0.0,17.36880920013687,19.8779
1999-06-26,0.28615587073540544,4.2,0.82647,18.51431960847904,21.111
1999-06-27,0.2850336908501685,3.3391699999999997,5.944459999999999,18.690115214120286,21.2949
1999-06-28,0.3276765264891701,3.04503,1.6901e-05,16.504893355825164,18.9151
1999-06-29,0.3316041560874992,2.89882,1.06481,16.43819375185316,18.8398
1999-06-30,0.30859946844014313,2.51878,1.28263,17.448472046109824,19.9654
1999-07-01,0.2872780506206423,3.2929800000000005,0.0,18.328649381332166,20.9151
1999-07-02,0.2788617014813657,3.6251,0.0,20.081340636585605,22.6887
1999-07-03,0.285594780792787,5.6,1.14609,21.680189270250313,24.1331
1999-07-04,0.3355317856858283,3.7617599999999998,4.133319999999999,23.21368665271247,25.347
1999-07-05,0.2945722198746821,4.80007,7.7107800000000015,23.722527902371947,25.7138
1999-07-06,0.4931980595616106,1.4324,24.8686,18.017342604707476,20.583
1999-07-07,0.8304131150752941,2.0333799999999997,0.320563,16.94032119076451,19.4034
1999-07-08,0.5302299957744278,2.43432,4.78568,17.50998292093121,20.0328
1999-07-09,0.4847817104223339,2.78546,0.0,17.10670621964049,19.5884
1999-07-10,0.4241839966195421,3.1930400000000003,0.0,18.21840444361219,20.798
1999-07-11,0.41632873742288395,3.7911699999999997,0.0,20.257961913817457,22.857
1999-07-12,0.41913418713597617,2.9205099999999997,4.75781,20.741732244521277,23.3071
1999-07-13,0.4196952770785946,2.7927,1.7869700000000002,20.4542822032174,23.0416
1999-07-14,0.4051069385705151,3.12102,8.8633,18.07916377134575,20.6493
1999-07-15,0.44157778484071386,2.27104,4.75059,15.99445818987425,18.3357
1999-07-16,0.4567272132914118,2.9123900000000003,0.0,17.398737374424787,19.9108
1999-07-17,0.3832244308083959,3.9,0.0,19.645137383703332,22.2643
1999-07-18,0.3635862828167505,4.72093,0.0,21.5697700345381,24.0392
1999-07-19,0.3417037750546312,4.499969999999999,0.702702,22.259968874969555,24.6117
1999-07-20,0.3753691716117378,3.6018800000000004,0.190397,20.971883174207715,23.5155
1999-07-21,0.3422648649972496,3.4882699999999995,1.10386,18.928889250927366,21.5421
1999-07-22,0.32150453712036725,2.5971900000000003,11.9916,16.59400495890114,19.0155
1999-07-23,0.4600937529471225,1.5631,0.0396545,14.165713730893254,16.206
1999-07-24,0.3590975632758029,2.25675,0.0,15.943174215199056,18.2771
1999-07-25,0.3226267170056041,3.1689999999999996,0.0,19.270101334129,21.8899
1999-07-26,0.3220656270629857,3.3401099999999997,0.0,20.077899132357874,22.6854
1999-07-27,0.32655434660393323,3.68765,0.0,19.41963674158784,22.0402
1999-07-28,0.33721505551368364,4.57559,0.0,19.83394512414144,22.4495
1999-07-29,0.34787576442343404,4.54636,0.0,20.073415973390052,22.6811
1999-07-30,0.33048197620226233,4.19038,0.0,20.26820890186799,22.8667
1999-07-31,0.33889832534153896,4.4,0.0,20.49536868549978,23.0799
1999-08-01,0.3181379974646566,4.4,0.0,20.76583483238281,23.3291
1999-08-02,0.31252709803847223,4.423109999999999,0.0,21.015643847500773,23.5547
1999-08-03,0.3158936376941828,3.53914,0.0,20.30418555258738,22.9007
1999-08-04,0.3327263359727361,4.09856,3.0521599999999998,21.594843863350246,24.0606
1999-08-05,0.4067902083983704,2.50182,5.78691,19.995753346246854,22.6064
1999-08-06,0.37817462132483,3.49335,0.47655200000000003,21.499751413207303,23.9792
1999-08-07,0.3736859017838823,2.41799,0.0121938,19.358488869208816,21.9789
1999-08-08,0.39837385925909385,2.43432,2.35018,18.59280713323003,21.1933
1999-08-09,0.3938851397181463,3.0743099999999997,1.47536,19.09996154131083,21.7173
